x,M1,V1,M2,V2
0.0,0.0,3.73576388888889,0.0,6.611111111111111
0.1,0.357576388888889,3.4157638888888897,0.6386111111111111,6.1611111111111105
0.2,0.6831527777777779,3.09576388888889,1.232222222222222,5.71111111111111
0.30000000000000004,0.9767291666666672,2.77576388888889,1.7808333333333335,5.261111111111111
0.4,1.238305555555556,2.4557638888888897,2.2844444444444445,4.811111111111111
0.5,1.467881944444445,2.13576388888889,2.7430555555555554,4.361111111111111
0.6000000000000001,1.6654583333333344,1.8157638888888896,3.156666666666667,3.9111111111111105
0.7000000000000001,1.8310347222222232,1.4957638888888898,3.525277777777778,3.4611111111111104
0.8,1.9646111111111118,1.1757638888888895,3.8488888888888884,3.0111111111111106
0.9,2.0661875000000007,0.8557638888888897,4.1274999999999995,2.561111111111111
1.0,2.13576388888889,0.5357638888888898,4.361111111111111,2.1111111111111107
1.1,2.1733402777777786,0.21576388888888953,4.549722222222222,1.6611111111111105
1.2000000000000002,2.178916666666668,-0.10423611111111075,4.693333333333333,1.2111111111111104
1.3,2.1524930555555564,-0.42423611111111015,4.791944444444445,0.7611111111111102
1.4000000000000001,2.094069444444446,-0.7442361111111104,4.845555555555555,0.31111111111111
1.5,2.003645833333335,-1.0642361111111107,4.854166666666666,-0.13888888888888928
1.6,1.881222222222223,-1.384236111111111,4.817777777777776,-0.5888888888888895
1.7000000000000002,1.7267986111111124,-1.7042361111111113,4.736388888888888,-1.0388888888888896
1.8,1.540375000000001,-2.0242361111111107,4.609999999999999,-1.488888888888889
1.9000000000000001,1.3219513888888912,-2.344236111111111,4.438611111111111,-1.93888888888889
2.0,1.0715277777777796,-2.6642361111111104,4.222222222222221,-2.3888888888888893
2.1,0.789104166666668,-2.9842361111111106,3.9608333333333334,-2.8388888888888903
2.2,0.47468055555555644,-3.304236111111111,3.654444444444442,-3.2888888888888896
2.3000000000000003,0.12825694444444657,-3.624236111111111,3.303055555555554,-3.7388888888888907
2.4000000000000004,-0.2501666666666651,-3.9442361111111115,2.9066666666666645,-4.18888888888889
2.5,-0.660590277777775,-4.26423611111111,2.4652777777777786,-4.638888888888889
2.6,-1.1030138888888885,-4.58423611111111,1.9788888888888891,-5.08888888888889
2.7,-1.5774374999999985,-4.904236111111111,1.447499999999998,-5.53888888888889
2.8000000000000003,-2.0838611111111103,-5.224236111111111,0.8711111111111087,-5.988888888888891
2.9000000000000004,-2.6222847222222203,-5.544236111111111,0.2497222222222213,-6.43888888888889
3.0,-3.1927083333333304,-5.864236111111111,-0.41666666666666785,-6.888888888888889
3.1,-3.795131944444444,-6.184236111111112,-1.1280555555555587,-7.33888888888889
3.2,-4.429555555555556,-6.504236111111112,-1.8844444444444512,-7.78888888888889
3.3000000000000003,-5.095979166666664,-6.824236111111112,-2.6858333333333384,-8.23888888888889
3.4000000000000004,-5.794402777777778,-7.144236111111113,-3.5322222222222273,-8.68888888888889
3.5,-6.524826388888886,-7.464236111111111,-4.423611111111114,-9.13888888888889
3.6,-7.28725,-7.784236111111111,-5.360000000000003,-9.588888888888889
3.7,-8.08167361111111,-8.104236111111112,-6.34138888888889,-10.038888888888891
3.8000000000000003,-8.908097222222219,-8.424236111111112,-7.367777777777778,-10.48888888888889
3.9000000000000004,-9.766520833333333,-8.744236111111112,-8.439166666666669,-10.93888888888889
4.0,-10.656944444444441,-9.06423611111111,-9.555555555555557,-11.38888888888889
4.0,-10.656944444444443,13.381388888888889,-9.555555555555555,9.911111111111111
4.1,-9.341305555555556,12.93138888888889,-8.580444444444444,9.591111111111111
4.2,-8.070666666666664,12.481388888888889,-7.637333333333333,9.27111111111111
4.3,-6.845027777777776,12.03138888888889,-6.726222222222221,8.95111111111111
4.4,-5.664388888888887,11.581388888888888,-5.847111111111111,8.63111111111111
4.5,-4.528749999999999,11.131388888888889,-5.0,8.311111111111112
4.6,-3.438111111111109,10.68138888888889,-4.184888888888888,7.9911111111111115
4.7,-2.392472222222221,10.231388888888889,-3.4017777777777773,7.671111111111111
4.8,-1.3918333333333308,9.78138888888889,-2.650666666666667,7.351111111111111
4.9,-0.43619444444444255,9.331388888888888,-1.9315555555555566,7.031111111111111
5.0,0.4744444444444458,8.881388888888889,-1.2444444444444436,6.711111111111111
5.1,1.340083333333336,8.43138888888889,-0.5893333333333324,6.391111111111111
5.2,2.160722222222226,7.981388888888889,0.03377777777778057,6.071111111111111
5.3,2.936361111111111,7.5313888888888885,0.6248888888888899,5.751111111111111
5.4,3.6670000000000016,7.081388888888888,1.184000000000001,5.431111111111111
5.5,4.3526388888888885,6.631388888888889,1.7111111111111121,5.111111111111111
5.6,4.993277777777777,6.181388888888889,2.2062222222222214,4.79111111111111
5.7,5.588916666666666,5.731388888888889,2.6693333333333342,4.47111111111111
5.8,6.139555555555557,5.281388888888889,3.1004444444444434,4.151111111111111
5.9,6.645194444444446,4.831388888888888,3.499555555555556,3.8311111111111105
6.0,7.1058333333333366,4.381388888888889,3.866666666666667,3.511111111111111
6.1,7.521472222222226,3.931388888888888,4.201777777777782,3.191111111111111
6.2,7.892111111111113,3.4813888888888886,4.504888888888889,2.8711111111111105
6.300000000000001,8.217750000000002,3.0313888888888876,4.776000000000003,2.55111111111111
6.4,8.49838888888889,2.5813888888888883,5.015111111111114,2.23111111111111
6.5,8.734027777777783,2.131388888888889,5.222222222222221,1.9111111111111114
6.6,8.924666666666667,1.681388888888888,5.397333333333332,1.5911111111111111
6.7,9.070305555555557,1.2313888888888886,5.540444444444443,1.2711111111111109
6.800000000000001,9.170944444444444,0.7813888888888876,5.651555555555554,0.9511111111111106
6.9,9.226583333333338,0.3313888888888883,5.730666666666668,0.6311111111111103
7.0,9.237222222222222,-0.118611111111111,5.777777777777779,0.31111111111111
7.1,9.202861111111112,-0.5686111111111121,5.792888888888889,-0.008888888888890278
7.2,9.1235,-1.0186111111111114,5.776,-0.32888888888889056
7.300000000000001,8.999138888888893,-1.4686111111111124,5.727111111111114,-0.6488888888888908
7.4,8.829777777777778,-1.9186111111111117,5.646222222222221,-0.9688888888888911
7.5,8.615416666666668,-2.368611111111111,5.533333333333331,-1.2888888888888896
7.6,8.356055555555557,-2.8186111111111103,5.388444444444438,-1.60888888888889
7.7,8.05169444444445,-3.268611111111113,5.211555555555556,-1.9288888888888902
7.800000000000001,7.7023333333333355,-3.7186111111111124,5.00266666666667,-2.2488888888888905
7.9,7.307972222222226,-4.168611111111112,4.761777777777773,-2.5688888888888908
8.0,6.8686111111111146,-4.618611111111111,4.488888888888887,-2.8888888888888893
8.100000000000001,6.3842500000000015,-5.068611111111114,4.1839999999999975,-3.2088888888888913
8.2,5.854888888888894,-5.518611111111113,3.8471111111111114,-3.52888888888889
8.3,5.2805277777777775,-5.968611111111109,3.4782222222222217,-3.8488888888888884
8.4,4.6611666666666665,-6.418611111111112,3.0773333333333284,-4.16888888888889
8.5,3.996805555555561,-6.868611111111111,2.6444444444444457,-4.488888888888889
8.600000000000001,3.2874444444444464,-7.318611111111114,2.1795555555555524,-4.808888888888891
8.7,2.5330833333333302,-7.768611111111113,1.6826666666666625,-5.1288888888888895
8.8,1.7337222222222195,-8.218611111111112,1.1537777777777762,-5.448888888888892
8.9,0.8893611111111,-8.668611111111112,0.5928888888888793,-5.76888888888889
9.0,0.0,-9.118611111111111,0.0,-6.088888888888889
